Creating surface profile...
Computing temperature evolution...
Visualisation
         40024054 function calls (39816329 primitive calls) in 67.037 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       99    0.000    0.000    0.051    0.001 postproc.py:41(usedefs)
        2    0.000    0.000    0.050    0.025 builtins.py:1(<module>)
      896    0.007    0.000    0.050    0.000 templates.py:887(make_overload_template)
        2    0.000    0.000    0.049    0.025 unicode.py:1(<module>)
        1    0.000    0.000    0.048    0.048 axes3d.py:1(<module>)
      147    0.000    0.000    0.048    0.000 re.py:249(compile)
        3    0.000    0.000    0.047    0.016 arrayobj.py:976(prepare)
      213    0.015    0.000    0.047    0.000 artist.py:1521(get_setters)
128994/128878    0.032    0.000    0.047    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.046    0.015 arrayobj.py:860(prepare)
       11    0.000    0.000    0.046    0.004 untyped_passes.py:79(run_pass)
       11    0.001    0.000    0.046    0.004 interpreter.py:1299(interpret)
  354/234    0.002    0.000    0.046    0.000 base.py:529(get_function)
     5304    0.003    0.000    0.046    0.000 re.py:197(search)
 27424/24    0.034    0.000    0.045    0.002 _idl.py:564(_replace_heap)
   154736    0.032    0.000    0.045    0.000 utils.py:306(<genexpr>)
      323    0.002    0.000    0.045    0.000 context.py:700(load_additional_registries)
8487/8012    0.018    0.000    0.045    0.000 {built-in method builtins.sorted}
      284    0.001    0.000    0.045    0.000 sre_parse.py:944(parse)
      322    0.002    0.000    0.045    0.000 npydecl.py:202(generic)
      144    0.001    0.000    0.045    0.000 cgutils.py:99(__init__)
      175    0.000    0.000    0.045    0.000 templates.py:1051(__init__)
    11640    0.009    0.000    0.044    0.000 values.py:557(_set_name)
      952    0.001    0.000    0.044    0.000 inspect.py:3252(signature)
      171    0.001    0.000    0.043    0.000 templates.py:1097(_init_once)
      952    0.001    0.000    0.043    0.000 inspect.py:2998(from_callable)
 1026/959    0.007    0.000    0.043    0.000 inspect.py:2375(_signature_from_callable)
      848    0.003    0.000    0.043    0.000 builder.py:297(if_then)
      181    0.001    0.000    0.042    0.000 templates.py:907(_get_target_registry)
     1266    0.001    0.000    0.042    0.000 cgutils.py:142(_get_ptr_by_index)
  625/284    0.002    0.000    0.042    0.000 sre_parse.py:436(_parse_sub)
      322    0.003    0.000    0.042    0.000 npydecl.py:98(generic)
        1    0.000    0.000    0.042    0.042 _base.py:1518(parse)
        1    0.000    0.000    0.042    0.042 _base.py:692(parse)
  694/294    0.016    0.000    0.041    0.000 sre_parse.py:494(_parse)
        9    0.000    0.000    0.040    0.004 _base.py:734(__init_subclass__)
       58    0.014    0.000    0.040    0.001 enum.py:180(__new__)
       41    0.001    0.000    0.039    0.001 lowering.py:692(lower_binop)
       22    0.001    0.000    0.039    0.002 registry.py:54(apply)
      248    0.000    0.000    0.039    0.000 extending.py:155(wrap)
26364/26298    0.019    0.000    0.039    0.000 _utils.py:54(get_reference)
       10    0.000    0.000    0.038    0.004 base.py:1(<module>)
       56    0.000    0.000    0.038    0.001 module.py:11(parse_assembly)
       48    0.000    0.000    0.038    0.001 decorators.py:189(wrapper)
       48    0.001    0.000    0.037    0.001 dispatcher.py:807(__init__)
     4575    0.002    0.000    0.036    0.000 ir.py:594(list_vars)
        1    0.000    0.000    0.036    0.036 _laplacian.py:1(<module>)
       11    0.000    0.000    0.035    0.003 typed_passes.py:219(run_pass)
       57    0.000    0.000    0.035    0.001 codegen.py:719(add_linking_library)
      667    0.002    0.000    0.035    0.000 std.py:345(print_status)
2581/2532    0.006    0.000    0.035    0.000 abstract.py:60(__call__)
    11640    0.008    0.000    0.035    0.000 _utils.py:16(register)
        1    0.000    0.000    0.035    0.035 multiarray.py:1(<module>)
        5    0.000    0.000    0.035    0.007 context.py:1(<module>)
        1    0.000    0.000    0.034    0.034 special.py:1(<module>)
       91    0.000    0.000    0.034    0.000 arrayobj.py:72(_make_refs)
  127/124    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
    13685    0.004    0.000    0.034    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.034    0.017 hashing.py:1(<module>)
     1485    0.002    0.000    0.034    0.000 cgutils.py:158(__setattr__)
      541    0.002    0.000    0.034    0.000 context.py:336(_call_incref_decref)
        1    0.000    0.000    0.034    0.034 overrides.py:1(<module>)
  127/124    0.030    0.000    0.034    0.000 {built-in method _imp.create_dynamic}
     8570    0.007    0.000    0.033    0.000 event.py:209(broadcast)
     1082    0.003    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
    25904    0.008    0.000    0.032    0.000 templates.py:1307(new_registrations)
     3710    0.003    0.000    0.032    0.000 ffi.py:73(__exit__)
       34    0.000    0.000    0.032    0.001 base.py:884(call_internal)
        3    0.000    0.000    0.032    0.011 core.py:1(<module>)
    42233    0.025    0.000    0.032    0.000 book.py:676(get_record_parts)
        1    0.000    0.000    0.032    0.032 _fontconfig_pattern.py:1(<module>)
     4285    0.006    0.000    0.031    0.000 event.py:404(end_event)
        4    0.000    0.000    0.031    0.008 lowering.py:281(create_cfunc_wrapper)
        4    0.000    0.000    0.031    0.008 cpu.py:186(create_cfunc_wrapper)
48662/48464    0.012    0.000    0.031    0.000 {built-in method builtins.hasattr}
      621    0.002    0.000    0.031    0.000 cgutils.py:173(__setitem__)
      234    0.000    0.000    0.031    0.000 registry.py:38(target_context)
        1    0.000    0.000    0.030    0.030 registry.py:28(_toplevel_target_context)
        1    0.000    0.000    0.030    0.030 cpu.py:39(__init__)
        1    0.000    0.000    0.030    0.030 base.py:228(__init__)
43261/43160    0.017    0.000    0.030    0.000 {method 'join' of 'str' objects}
     2496    0.006    0.000    0.030    0.000 base.py:355(install_registry)
      939    0.011    0.000    0.030    0.000 inspect.py:2280(_signature_from_function)
      432    0.004    0.000    0.030    0.000 textwrap.py:422(dedent)
      132    0.001    0.000    0.030    0.000 _docstring.py:38(__call__)
  122/111    0.000    0.000    0.030    0.000 _docstring.py:79(__call__)
     1121    0.005    0.000    0.029    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     3707    0.002    0.000    0.029    0.000 base.py:1249(exit_fn)
    27445    0.013    0.000    0.029    0.000 _idl.py:75(_align_32)
        1    0.000    0.000    0.029    0.029 colors.py:1(<module>)
 1319/541    0.004    0.000    0.028    0.000 context.py:319(get_meminfos)
        1    0.000    0.000    0.028    0.028 callconv.py:1(<module>)
     3710    0.003    0.000    0.028    0.000 ffi.py:67(__enter__)
       11    0.000    0.000    0.027    0.002 untyped_passes.py:192(run_pass)
        1    0.000    0.000    0.027    0.027 cpu.py:46(init)
  169/167    0.000    0.000    0.027    0.000 __init__.py:108(import_module)
  169/167    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
      284    0.001    0.000    0.026    0.000 sre_compile.py:622(_code)
      548    0.001    0.000    0.026    0.000 cgutils.py:149(__getattr__)
        1    0.000    0.000    0.026    0.026 rules.py:1(<module>)
   149119    0.025    0.000    0.025    0.000 {built-in method _struct.unpack}
      667    0.001    0.000    0.025    0.000 utils.py:317(disp_trim)
    11499    0.014    0.000    0.025    0.000 _utils.py:24(deduplicate)
        1    0.000    0.000    0.025    0.025 rules.py:15(_init_casting_rules)
       11    0.000    0.000    0.025    0.002 lowering.py:29(__init__)
