Creating surface profile...
Computing temperature evolution...
Visualisation
         4014645 function calls (3968377 primitive calls) in 6.743 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.003    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _arffread.py:1(<module>)
      745    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     55/8    0.000    0.000    0.003    0.000 core.py:3635(leave_whitespace)
        1    0.000    0.000    0.003    0.003 std.py:657(get_lock)
        1    0.000    0.000    0.003    0.003 std.py:92(__init__)
     1698    0.001    0.000    0.003    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.003    0.003 std.py:118(create_mp_lock)
      344    0.001    0.000    0.003    0.000 inspect.py:663(_finddoc)
       18    0.000    0.000    0.003    0.000 rcsetup.py:629(cycler)
        8    0.000    0.000    0.003    0.000 core.py:2678(__init__)
      261    0.001    0.000    0.003    0.000 construction.py:493(sanitize_array)
      250    0.000    0.000    0.003    0.000 inspect.py:3014(replace)
        1    0.000    0.000    0.003    0.003 book.py:1(<module>)
     2654    0.002    0.000    0.003    0.000 __init__.py:411(_strip_comment)
   114/57    0.000    0.000    0.003    0.000 core.py:3722(copy)
      821    0.002    0.000    0.002    0.000 inspect.py:612(unwrap)
