Creating surface profile...
Computing temperature evolution...
Visualisation
         3801900 function calls (3755662 primitive calls) in 15.783 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:509(InvalidColumnName)
        4    0.000    0.000    0.000    0.000 __init__.py:509(cast)
        1    0.000    0.000    0.000    0.000 __init__.py:510(get_configdir)
       16    0.000    0.000    0.000    0.000 __init__.py:519(_cmpkey)
        1    0.000    0.000    0.000    0.000 __init__.py:522(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:524(CategoricalConversionWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:529(get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:53(ParserError)
       17    0.000    0.000    0.000    0.000 __init__.py:534(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:540(get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:546(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:553(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:567(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:567(gen_candidates)
        1    0.000    0.000    0.000    0.000 __init__.py:58(NegativeInfinityType)
        1    0.000    0.000    0.000    0.000 __init__.py:584(maxdict)
        1    0.000    0.000    0.000    0.000 __init__.py:603(RcParams)
